,cpi_yoy_pct,pce_yoy_pct,real_pce_yoy_pct
cpi_yoy_pct,1.0,0.6681835410540196,0.28709971452697625
pce_yoy_pct,0.6681835410540196,1.0,0.9043597592140635
real_pce_yoy_pct,0.28709971452697625,0.9043597592140635,1.0
