date,cpi,pce,cpi_index_2015_01_100,real_pce,pce_yoy_pct,real_pce_yoy_pct,cpi_yoy_pct
2015-01-01,234.747,12066.7,100.0,12066.7,,,
2015-02-01,235.342,12116.6,100.25346436802174,12085.966381691327,,,
2015-03-01,235.976,12176.1,100.5235423668886,12112.68496245381,,,
2015-04-01,236.222,12209.1,100.62833603837322,12132.864837737383,,,
2015-05-01,237.001,12275.4,100.96018266474118,12158.654705254408,,,
2015-06-01,237.657,12307.9,101.23963245536684,12157.195459422612,,,
2015-07-01,238.034,12364.9,101.40023088686969,12194.153693589991,,,
2015-08-01,238.033,12396.2,101.3998048963352,12225.072831918265,,,
2015-09-01,237.498,12386.4,101.17189996038287,12242.925164843495,,,
2015-10-01,237.733,12394.9,101.2720077359881,12239.2162228214,,,
2015-11-01,238.017,12423.2,101.39298904778336,12252.523686963537,,,
2015-12-01,237.761,12452.0,101.28393547095382,12294.151034021561,,,
2016-01-01,237.652,12478.0,101.23750250269438,12325.471975830205,3.4085541200162384,2.1445132126447497,1.2375025026943876
2016-02-01,237.336,12554.5,101.10288949379544,12417.548165891394,3.614050146080583,2.7435272755877538,0.8472775790126619
2016-03-01,238.08,12537.0,101.41982645145625,12361.48831905242,2.9640032522728843,2.0540727127786873,0.8916160965521946
2016-04-01,238.992,12611.5,101.80832981891142,12387.493265464955,3.2959022368561186,2.098666977114827,1.1726257503534843
2016-05-01,239.557,12652.7,102.04901447089844,12398.649869968318,3.073626928654072,1.9738628206144693,1.0784764621246223
2016-06-01,240.222,12731.2,102.33229817633452,12441.037899942556,3.439254462580954,2.3347690794915055,1.0792865347959424
2016-07-01,240.101,12756.7,102.28075332166118,12472.238994839674,3.1686467339000046,2.280480533846818,0.8683633430518256
2016-08-01,240.545,12788.1,102.46989311897488,12479.860777401322,3.161452703247769,2.0841425567448058,1.0553158595656864
2016-09-01,241.176,12846.6,102.73869314623826,12504.149708926265,3.715365239294721,2.1336775367450267,1.5486446201652182
2016-10-01,241.741,12867.0,102.97937779822533,12494.734649893895,3.808824597213367,2.087702532749214,1.685924966243646
2016-11-01,242.026,12893.0,103.10078510055507,12505.239399899185,3.78163436151715,2.0625604927785757,1.6843334719788938
2016-12-01,242.637,13005.9,103.36106531712865,12582.977894138157,4.4482814005782245,2.3493030085389943,2.0507989115119862
